MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
518,0.0,0.0,0.0001701960380152922,0.00011367963971379677,pseudo-voigt,0.3206282637205588,0.8702476333863008,0.0,11.597455956545005,11.597455956545005,0.0,0.0,0.0001701960380152922,0.00011367963971379677
519,0.0,0.0,0.00022791528314693903,0.0002789472893857966,pseudo-voigt,0.2985388950721127,0.7071568922500278,0.0,-59.99999999999997,-59.99999999999997,-0.0,0.0,0.00022791528314693903,0.0002789472893857966
520,0.0,0.0,0.00015198563568012455,0.0003184312862007338,pseudo-voigt,0.3231806235848463,0.8174304947700305,0.0,-71.59745595654499,-71.59745595654499,-0.0,0.0,0.00015198563568012455,0.0003184312862007338
521,0.0,0.0,0.0001939034937694457,0.00024332724946670903,pseudo-voigt,0.3238666540522234,0.6205488668339403,0.0,36.805088086909976,36.805088086909976,0.0,0.0,0.0001939034937694457,0.00024332724946670903
522,0.0,0.0,0.00011480675059819867,0.00016014051319118377,pseudo-voigt,0.3226312387681538,0.8214455144895456,0.0,-11.59745595654502,-11.59745595654502,0.0,0.0,0.00011480675059819867,0.00016014051319118377
523,0.0,0.0,0.000261172741604851,0.00014623688163150787,pseudo-voigt,0.339198660482293,0.8277811639877141,0.0,45.44464338117626,45.44464338117626,0.0,-0.0,0.000261172741604851,0.00014623688163150787
524,0.0,0.0,6.394072331331118e-05,0.00018626605640720043,pseudo-voigt,0.286740946628276,0.7431455579235883,0.0,14.55535661882378,14.55535661882378,0.0,-0.0,6.394072331331118e-05,0.00018626605640720043
525,0.0,0.0,0.0001519712342351571,0.0001670494571495838,pseudo-voigt,0.2779619648062941,0.7484162236102392,0.0,-4.851785539607917,-4.851785539607917,0.0,0.0,0.0001519712342351571,0.0001670494571495838
526,0.0,0.0,0.00016764684723015986,0.00012908346998802994,pseudo-voigt,0.2885644601945157,0.8004844581375871,0.0,4.8517855396079455,4.8517855396079455,0.0,-0.0,0.00016764684723015986,0.00012908346998802994
527,0.0,0.0,0.0002586331523634314,4.310226796565278e-05,pseudo-voigt,0.305618342188088,0.6447703849309275,0.0,55.148214460392076,55.148214460392076,0.0,0.0,0.0002586331523634314,4.310226796565278e-05
528,0.0,0.0,0.00024549518051253177,0.00015179171140376063,pseudo-voigt,0.2696807161384582,0.9064586957731883,0.0,-35.74107230196044,-35.74107230196044,0.0,0.0,0.00024549518051253177,0.00015179171140376063
529,0.0,0.0,0.0002634513490787703,0.00041436732631110814,pseudo-voigt,0.2806231439165651,0.7230525360496068,0.0,85.03146653651956,85.03146653651956,0.0,0.0,0.0002634513490787703,0.00041436732631110814
530,0.0,0.0,8.387580228211992e-05,8.862811362464342e-05,pseudo-voigt,0.2920338126226347,0.7430069037505032,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0,-0.0,8.387580228211992e-05,8.862811362464342e-05
531,0.0,0.0,2.4664427444658583e-05,0.0004071271322470824,pseudo-voigt,0.2922074912127,0.7271905942359453,0.0,85.03146653651959,85.03146653651959,0.0,-0.0,2.4664427444658583e-05,0.0004071271322470824
532,0.0,0.0,0.000284769213289061,4.697586102515324e-05,pseudo-voigt,0.2868771678999868,0.5961210826323473,0.0,51.656177821160185,51.656177821160185,0.0,-0.0,0.000284769213289061,4.697586102515324e-05
533,0.0,0.0,0.00015469899754280779,0.00021335316960435102,pseudo-voigt,0.2985987713625894,0.7211013544650527,0.0,-34.968533463480426,-34.968533463480426,-0.0,0.0,0.00015469899754280779,0.00021335316960435102
534,0.0,0.0,0.00030224312792931997,0.00028220884872205834,pseudo-voigt,0.2946439258107622,0.837686514033824,0.0,68.34382217883986,68.34382217883986,0.0,0.0,0.00030224312792931997,0.00028220884872205834
535,0.0,0.0,7.678279939089759e-05,0.0001236210762562522,pseudo-voigt,0.2886196600821589,0.7478781497023854,0.0,-8.343822178839815,-8.343822178839815,-0.0,0.0,7.678279939089759e-05,0.0001236210762562522
536,0.0,0.0,0.0003529581924868967,0.00012646198885285845,pseudo-voigt,0.2613937179652784,0.7480694663562147,0.0,76.73059840142798,76.73059840142798,0.0,0.0,0.0003529581924868967,0.00012646198885285845
537,0.0,0.0,0.0002840570922603037,0.00010830548402028434,pseudo-voigt,0.2529737581157214,0.722972144751071,0.0,51.634700799286,51.634700799286,0.0,0.0,0.0002840570922603037,0.00010830548402028434
538,0.0,0.0,0.00010257616536836421,3.344043477078191e-05,pseudo-voigt,0.2214289019228904,0.8864139300285542,0.0,8.365299200713977,8.365299200713977,0.0,-0.0,0.00010257616536836421,3.344043477078191e-05
539,0.0,0.0,0.00015388103770748563,0.0003720541705795967,pseudo-voigt,0.2934873737889137,0.7399612455317596,0.0,-85.09589760214192,-85.09589760214192,-0.0,0.0,0.00015388103770748563,0.0003720541705795967
540,0.0,0.0,4.488681452331393e-05,0.00030542755144572203,pseudo-voigt,0.2288593426402152,0.8395388477004108,0.0,60.0,60.0,0.0,0.0,4.488681452331393e-05,0.00030542755144572203
541,0.0,0.0,6.210530962925564e-05,0.00017743766788779977,pseudo-voigt,0.2952958354512702,0.7840868418800524,0.0,16.730598401427997,16.730598401427997,0.0,-0.0,6.210530962925564e-05,0.00017743766788779977
542,0.0,0.0,0.0002591813379819941,0.00019361317542507687,pseudo-voigt,0.299626450024868,0.69427005466443,0.0,43.269401598572045,43.269401598572045,0.0,-0.0,0.0002591813379819941,0.00019361317542507687
543,0.0,0.0,0.0002508180451561934,0.00024925663839023423,pseudo-voigt,0.2560896473174331,0.7765267853691138,0.0,34.85078602055157,34.85078602055157,0.0,-0.0,0.0002508180451561934,0.00024925663839023423
544,0.0,0.0,0.00029068756620834684,0.00020666577728189063,pseudo-voigt,0.3177241762627426,0.8082969473297816,0.0,-76.76614265296564,-76.76614265296564,-0.0,0.0,0.00029068756620834684,0.00020666577728189063
545,0.0,0.0,0.00017314892152388506,3.606214928031245e-05,pseudo-voigt,0.2999278775050963,0.7535846473697786,0.0,25.14921397944846,25.14921397944846,0.0,-0.0,0.00017314892152388506,3.606214928031245e-05
546,0.0,0.0,0.00014066529422106946,9.396717099583086e-05,pseudo-voigt,0.3087190737525168,0.7576983879907865,0.0,8.38307132648282,8.38307132648282,0.0,-0.0,0.00014066529422106946,9.396717099583086e-05
547,0.0,0.0,8.406287381713235e-05,6.431594590058286e-05,pseudo-voigt,0.3184967378587114,0.8190577182391174,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0,-0.0,8.406287381713235e-05,6.431594590058286e-05
