MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay,theta_degrees,theta_position
41,-1.0258642312311099e-05,0.0001247231049714928,5e-08,5e-08,gaussian,0.2833000697773581,0.7059686638956498,0.0,-0.00012514350935195144,4.412741778020624e-07,5e-08,5e-08,85.09589760214199,85.09589760214199
42,-2.693297212265596e-06,8.220489821575508e-05,5e-08,5e-08,gaussian,0.3113136834126231,0.844130929963957,0.0,-7.740682489155523e-05,2.7804362980373372e-05,5e-08,5e-08,68.36529920071399,68.36529920071399
43,-4.11263160492507e-06,4.919925913191949e-07,5e-08,5e-08,gaussian,0.2921438972591241,0.5975893375462631,0.0,3.795880995193353e-06,-1.6574326224831753e-06,5e-08,5e-08,-16.766142652965556,-16.766142652965556
44,-3.4699543808807897e-06,-6.366875312713862e-05,5e-08,5e-08,gaussian,0.3192992405575061,0.6487573560824341,0.0,-5.687373482582236e-05,-2.8829307919753434e-05,5e-08,5e-08,-60.0,-60.0
45,1.8957071044009749e-06,-4.5822771448415676e-05,5e-08,5e-08,gaussian,0.3265354737551159,0.7644882917830554,0.0,3.4742338981402e-05,2.993810232364052e-05,5e-08,5e-08,-51.61692867351715,-51.61692867351715
46,1.669784482110521e-06,-8.870517108054525e-06,5e-08,5e-08,gaussian,0.2722103463814949,0.8049869208055183,0.0,-2.258270883229979e-06,-8.739248628969245e-06,5e-08,5e-08,-25.14921397944846,-25.14921397944846
47,8.014510577629865e-06,4.139325948368596e-05,5e-08,5e-08,gaussian,0.2954614525722571,0.7936139864460331,0.0,-2.4845955249102214e-05,-3.4063364752213014e-05,5e-08,5e-08,-25.149213979448476,-25.149213979448476
48,9.184879310911438e-06,7.70494396922318e-05,5e-08,5e-08,gaussian,0.2542437826477947,0.6829559485972044,0.0,7.501407639725493e-05,1.9846070319075174e-05,5e-08,5e-08,-68.38307132648282,-68.38307132648282
49,8.453030977891097e-06,5.972889848972791e-05,5e-08,5e-08,gaussian,0.2338762247758548,0.7801107590182444,0.0,-5.5953258921111905e-05,-2.2543909679033487e-05,5e-08,5e-08,-59.99999999999997,-59.99999999999997
50,2.544648133643265e-06,-7.217947865698812e-05,5e-08,5e-08,gaussian,0.2514932641781377,0.755203103067283,0.0,-6.356494946781296e-05,-3.429066305093916e-05,5e-08,5e-08,-63.67406796615313,-63.67406796615313
