MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay,theta_degrees,theta_position,mux,muy
105,0.0,0.0,5e-08,5e-08,gaussian,0.2793464397281063,0.877759127056026,0.0,5e-08,5e-08,52.91590901237717,52.91590901237717,0.0,-0.0
106,0.0,0.0,5e-08,5e-08,gaussian,0.2326193166684971,0.7424732584342425,0.0,5e-08,5e-08,-7.084090987622872,-7.084090987622872,0.0,0.0
107,0.0,0.0,5e-08,5e-08,gaussian,0.3015580621021013,0.6756165852587945,0.0,5e-08,5e-08,-81.25227296286857,-81.25227296286857,0.0,0.0
108,0.0,0.0,5e-08,5e-08,gaussian,0.2742458001290036,0.6639277044493995,0.0,5e-08,5e-08,-52.91590901237714,-52.91590901237714,-0.0,0.0
109,0.0,0.0,5e-08,5e-08,gaussian,0.299373809772755,0.876794289547568,0.0,5e-08,5e-08,-21.475393641086953,-21.475393641086953,0.0,0.0
110,0.0,0.0,5e-08,5e-08,gaussian,0.2922041152757701,0.7882104140935376,0.0,5e-08,5e-08,-7.15846454702897,-7.15846454702897,-0.0,0.0
111,0.0,0.0,5e-08,5e-08,gaussian,0.3168920638514697,0.8947057990455328,0.0,5e-08,5e-08,7.1584645470289985,7.1584645470289985,0.0,0.0
112,0.0,0.0,5e-08,5e-08,gaussian,0.2691364566344271,0.8045929572298254,0.0,5e-08,5e-08,7.1584645470289985,7.1584645470289985,0.0,-0.0
113,0.0,0.0,5e-08,5e-08,gaussian,0.2567050057908133,0.6636949238132754,0.0,5e-08,5e-08,-36.92716394449545,-36.92716394449545,0.0,0.0
114,0.0,0.0,5e-08,5e-08,gaussian,0.2669641382058888,0.8561548458381704,0.0,5e-08,5e-08,-83.07283605550452,-83.07283605550452,-0.0,0.0
115,0.0,0.0,5e-08,5e-08,gaussian,0.2838624815454566,0.8124723101227509,0.0,5e-08,5e-08,-11.536418027752276,-11.536418027752276,0.0,0.0
116,0.0,0.0,5e-08,5e-08,gaussian,0.3316764787188318,0.6461845105135177,0.0,5e-08,5e-08,-60.0,-60.0,0.0,0.0
117,0.0,0.0,5e-08,5e-08,gaussian,0.2911779135928069,0.7983397739962849,0.0,5e-08,5e-08,23.07283605550451,23.07283605550451,0.0,-0.0
118,0.0,0.0,5e-08,5e-08,gaussian,0.3086450272692751,0.7910247808120933,0.0,5e-08,5e-08,-83.19491191309007,-83.19491191309007,0.0,0.0
119,0.0,0.0,5e-08,5e-08,gaussian,0.2848467950105126,0.7180607770419679,0.0,5e-08,5e-08,83.19491191309001,83.19491191309001,0.0,-0.0
120,0.0,0.0,5e-08,5e-08,gaussian,0.2453295513386381,0.7555617393212745,0.0,5e-08,5e-08,-11.59745595654502,-11.59745595654502,0.0,0.0
121,0.0,0.0,5e-08,5e-08,gaussian,0.2837712409659842,0.8063883254251148,0.0,5e-08,5e-08,-71.59745595654502,-71.59745595654502,0.0,0.0
122,0.0,0.0,5e-08,5e-08,gaussian,0.2680881514449859,0.6053904100091515,0.0,5e-08,5e-08,-23.194911913089996,-23.194911913089996,-0.0,0.0
123,0.0,0.0,5e-08,5e-08,gaussian,0.2768312918677576,0.9446118930678673,0.0,5e-08,5e-08,-45.444643381176206,-45.444643381176206,-0.0,0.0
124,0.0,0.0,5e-08,5e-08,gaussian,0.2699651165963634,0.8358658485644725,0.0,5e-08,5e-08,-74.55535661882374,-74.55535661882374,0.0,0.0
125,0.0,0.0,5e-08,5e-08,gaussian,0.2950657973890427,0.6498930997563689,0.0,5e-08,5e-08,-4.851785539607917,-4.851785539607917,0.0,0.0
126,0.0,0.0,5e-08,5e-08,gaussian,0.2582404531409684,0.8192889815480853,0.0,5e-08,5e-08,-55.1482144603921,-55.1482144603921,-0.0,0.0
127,0.0,0.0,5e-08,5e-08,gaussian,0.2885232921645734,0.6767572757554263,0.0,5e-08,5e-08,84.2589276980396,84.2589276980396,0.0,-0.0
128,0.0,0.0,5e-08,5e-08,gaussian,0.3184346914045065,0.7102790425775959,0.0,5e-08,5e-08,24.25892769803957,24.25892769803957,0.0,0.0
129,0.0,0.0,5e-08,5e-08,gaussian,0.3383852554604482,0.7537004670107448,0.0,5e-08,5e-08,-34.968533463480426,-34.968533463480426,-0.0,0.0
130,0.0,0.0,5e-08,5e-08,gaussian,0.295640572190374,0.6780966626806428,0.0,5e-08,5e-08,68.34382217883986,68.34382217883986,0.0,0.0
131,0.0,0.0,5e-08,5e-08,gaussian,0.2374924633210727,0.7500521963879623,0.0,5e-08,5e-08,-0.0,-0.0,0.0,0.0
132,0.0,0.0,5e-08,5e-08,gaussian,0.2895171943677843,0.8088778176130464,0.0,5e-08,5e-08,43.3123556423203,43.3123556423203,0.0,0.0
133,0.0,0.0,5e-08,5e-08,gaussian,0.2661255429999109,0.757246373383392,0.0,5e-08,5e-08,8.343822178839886,8.343822178839886,0.0,-0.0
134,0.0,0.0,5e-08,5e-08,gaussian,0.3018801799294146,0.795954196020353,0.0,5e-08,5e-08,-68.34382217883984,-68.34382217883984,0.0,0.0
135,0.0,0.0,5e-08,5e-08,gaussian,0.3118417068723603,0.9231153337579067,0.0,5e-08,5e-08,-16.6876443576797,-16.6876443576797,-0.0,0.0
136,0.0,0.0,5e-08,5e-08,gaussian,0.3072198146136699,0.8585161964306853,0.0,5e-08,5e-08,43.269401598572045,43.269401598572045,0.0,-0.0
